gen	nevals	avg    	std    	min    	max    
0  	50    	85261.6	22610.6	22899.8	100213 
1  	44    	67037.1	28221.6	22899.8	100020 
2  	44    	49419.2	24856.8	19221.4	100000 
3  	42    	31961.8	14760  	16952.1	80637.4
4  	44    	25049.1	9047.22	16952.1	76378.6
5  	39    	21897.6	4885.17	16919.6	45239.3
6  	35    	21478.5	11885.1	16738.8	93231  
7  	44    	18244  	1186.75	16741.6	21887.5
8  	36    	17517.4	1532.82	16656.7	27029.5
9  	44    	17200.6	954.362	16405.7	23451.8
10 	38    	17232  	1733.47	16389.8	29208.6
11 	46    	17016  	298.332	16406.2	17566.4
12 	40    	16955.5	479.116	16277.6	19101.4
13 	44    	17070.1	329.534	16406.2	17960.3
14 	47    	17314.7	2131.62	16339.5	32082.9
15 	44    	17026.7	383.594	16016.2	18236.1
16 	35    	16880.9	363.197	16339.5	18607.1
17 	42    	17114.7	1143.05	16339.5	24780.6
18 	37    	17008  	956.774	16339.5	22924.9
19 	34    	16822.9	259.862	16312.8	17408.4
20 	38    	16807.4	274.006	16162.5	17743  
21 	44    	17032.7	1310.7 	16162.5	25868.9
22 	32    	17873.3	7273.75	16068.3	68682.5
23 	35    	16903.9	1373.72	16068.3	25737.7
24 	41    	16688.9	419.986	16060.6	18006.8
25 	38    	16608.4	327.205	15695  	17405.2
26 	42    	16699.1	435.153	16071.8	18710.6
27 	42    	16563.9	300.317	15902.3	17305.5
28 	40    	16423.1	273.148	15662.3	17021.3
29 	45    	16441.8	336.392	15643  	17182  
30 	39    	16306.2	309.893	15643  	17049.8
