=== Final Results ===
gen	nevals	avg    	std    	min    	max    
0  	20    	103852 	61664.4	25429.2	216997 
1  	13    	58503  	41163.3	23777  	217996 
2  	14    	32091.4	8735.5 	23457.9	52829.9
3  	12    	25462  	2009.75	22693  	30439.2
4  	12    	24114.9	1184.27	22693  	27812.8
5  	18    	24217  	1284.87	22681  	27174.6
6  	6     	23410.2	918.555	22681  	25772.6
7  	7     	23308.5	848.979	22681  	25325.9
8  	12    	23545  	886.937	22681  	25965.4
9  	8     	23912.5	1337.47	22681  	26491  
10 	10    	23936.5	1196.66	22681  	26388.5
11 	17    	24170.7	862.962	22681  	25626.4
12 	12    	23812  	1019.49	22681  	26218.1
13 	9     	29996.4	28376.2	22681  	153642 
14 	14    	23573.1	1129.15	22362.4	27757.2
15 	14    	23599  	739.846	22681  	25329.6
16 	8     	23354.9	873.344	22681  	25917.7
17 	12    	23657.2	1034.27	22681  	25806.6
18 	10    	23919  	969.119	22681  	26179.7
19 	9     	23700.1	969.434	22681  	26132.3
20 	10    	23274.8	702.577	22298.1	24974.3
21 	7     	23207.4	887.599	22298.1	26239.4
22 	10    	23338  	975.588	22298.1	25721.7
23 	15    	23912.2	1072.42	21971.2	26061.9
24 	8     	23468.9	1262.84	21971.2	26864.6
25 	9     	23299  	1130.41	21971.2	26504.1
26 	9     	23229.1	1483.44	21971.2	27882.3
27 	8     	23384.1	1586.53	21971.2	26319.6
28 	9     	23111.8	1239.99	21971.2	25076.3
29 	4     	22940.3	1211.77	21971.2	26145.1
30 	6     	23024.8	1349.81	21971.2	26524.6
31 	11    	23193.9	1532.94	21971.2	27720.6
32 	14    	23611.6	1176.02	21971.2	25965.5
33 	8     	35793.3	37941.5	21971.2	159956 
34 	16    	24097  	1151.84	21971.2	26984.3
35 	15    	24029  	1028.43	22739.8	26244.1
36 	10    	23833  	919.756	22739.8	26109.5
37 	12    	23994.7	961.798	22739.8	25958.9
38 	10    	23735.5	1244.7 	21986  	26774.3
39 	13    	23440  	1052.13	21986  	25755.3
40 	12    	23805.9	1517.61	21986  	29285.8
41 	11    	23564  	1001.36	21986  	26081.2
42 	15    	24406.8	1435.04	21986  	26217.5
43 	14    	31292.1	31146.5	21986  	166976 
44 	12    	24036.3	985.904	22479.1	25841.2
45 	17    	24320.6	1195.61	22479.1	27313.3
46 	11    	23842.2	763.191	22479.1	24937.4
47 	8     	23620.6	1086   	22479.1	26103.7
48 	11    	23695.4	1322.32	22479.1	27520.2
49 	7     	23178.8	864.658	22479.1	25046.4
50 	12    	23419.2	838.522	22479.1	24828.7
Melhor Indivíduo:
[0.853989169506919, 692.0222549480441, 64.97774335879221, 39.582310435497384]

