gen	nevals	avg    	std    	min    	max    
0  	50    	80119.7	30626.1	11817.9	100198 
1  	41    	54157.8	33917  	10653  	100025 
2  	34    	33117.2	28888.7	10375.8	100100 
3  	40    	18987.5	15746.5	10095  	86506.2
4  	39    	16510.4	12598.4	10249  	71463.9
5  	40    	14453.2	10914.1	10041.3	69522.9
6  	48    	17108.5	14572.3	10236  	86774.5
7  	39    	16244.3	16077.3	9383.67	89773.5
8  	50    	14889.1	12848.9	9514.08	86388.9
9  	36    	11867  	4570.18	9321.04	41950.3
10 	50    	13167.9	6436.46	9357.81	39683  
11 	36    	13158.3	9410.12	9357.81	68390.3
12 	40    	11258.7	4665.85	9243.85	39605.2
13 	40    	10965.6	3953.15	9261.18	27488.1
14 	42    	11342  	5649.04	9084.8 	44235.7
15 	38    	9933.75	1764.67	8978.3 	20873.4
16 	44    	9482.8 	527.406	8726.74	11941.5
17 	36    	9406.63	660.648	8710.42	12543.8
18 	45    	9182.47	178.379	8785.06	9618.12
19 	46    	9186.31	810.625	8693.13	14627.2
20 	40    	9152.02	1677.09	8373.36	20819.8
21 	42    	8995.2 	1089.57	8373.36	16551.3
22 	42    	8768.33	86.241 	8595.45	8974.54
23 	32    	10171.2	9860.15	8592.47	79188.9
24 	44    	8786.71	112.841	8588.23	9038.56
25 	30    	8754.63	104.635	8578.1 	9064.78
26 	36    	10263.8	9538.9 	8588.23	76700.6
27 	30    	8774.25	105.679	8588.23	9049.22
28 	43    	8776.91	115.42 	8579.77	9068.16
29 	43    	8897.93	512.85 	8585.68	12394.2
30 	38    	8798.89	198.266	8555.09	10003.2
