=== Final Results ===
gen	nevals	avg    	std    	min    	max    
0  	50    	84851.5	21846.1	25237.3	100224 
1  	42    	73372.5	22751.5	28060  	100065 
2  	44    	59495.2	20710.5	28222  	100001 
3  	33    	46817.5	17343.6	26708.8	89442  
4  	30    	34032.7	6558.14	24792.4	56624.7
5  	38    	31195.4	6328.2 	25318.9	58418.8
6  	35    	30292.4	7039.47	25706  	59939.4
7  	39    	27730.2	5465.3 	24686.9	64116.8
8  	36    	27146.4	6336.19	23941.8	64755  
9  	42    	27134.7	5997.71	23941.8	58795  
10 	44    	26262.8	4292.79	23941.8	54959.6
11 	33    	26024.8	5957.01	23670.3	67412.5
12 	41    	25090.6	706.366	24033.1	27106.3
13 	40    	25037  	645.216	23906.1	26296.7
14 	42    	25080.7	624.058	23906.1	26481.9
15 	38    	24916  	614.82 	23854.2	26493.1
16 	38    	24944.6	739.308	23854.2	27316.2
17 	45    	25494.9	4003.55	23317.3	53121.7
18 	43    	24923  	685.147	23522.5	26436.7
19 	34    	24494.1	563.826	23522.5	25484.4
20 	42    	24769.3	650.533	23556.5	26562.2
21 	42    	24681.9	571.624	23548.3	26047.6
22 	38    	24555.9	501.243	23548.3	25836.8
23 	40    	24582.1	588.503	23548.3	25853.2
24 	39    	24593.8	671.111	23530.8	26742.3
25 	44    	24689.3	518.32 	23406.9	25946  
26 	39    	25193.3	4458.85	22964.9	55910  
27 	37    	24381.9	580.216	22964.9	25669.4
28 	41    	24463.8	545.44 	23366.2	25720.2
29 	41    	24442.5	572.463	23362.2	26041.6
30 	44    	24503.9	1267.62	22424.6	31889  
31 	39    	24425.1	931.881	23076.4	29004.1
32 	44    	24514.7	567.897	23241.5	25867.9
33 	34    	24413.9	679.598	23241.5	26577.9
34 	46    	24574.8	657.828	23067.7	26184.1
35 	38    	24569.1	507.722	23519.3	25959.9
36 	40    	24703.8	3095.99	23094.2	45913.5
37 	40    	24365.1	648.363	23440.5	26613.7
38 	40    	24288.3	592.891	23326.4	26288.6
39 	43    	24492.8	1101.88	22891.2	29817  
40 	40    	24183.8	741.024	22595  	25786.2
41 	40    	24195.2	664.763	23103.1	26112.8
42 	40    	24197.1	1077.57	23077.9	30110.2
43 	38    	24275.3	1301.52	22888.4	31858.9
44 	42    	24566.2	3322.46	22888.4	47352.8
45 	43    	24658.5	3643.87	22902.4	49747.8
46 	41    	24253.6	1035.85	22830.6	29221.7
47 	48    	24005.2	715.002	22773.1	27040.5
48 	40    	23998.9	629.637	22736.1	25732.7
49 	38    	24054.1	1277.42	22693.6	31827.9
50 	38    	23845  	626.52 	22809.2	25537.2
=== Top 1 Best Individuals ===
Rank 1:
Fitness: 22424.64126666667
Parameters: [np.float64(0.14096521481670332), np.float64(0.6302666709175262), np.float64(0.23828589684651877), np.float64(76.9642128330259), np.float64(73.09834769417856), np.float64(86.48930169835975), np.float64(0.27770662335759483), np.float64(0.27961929474353586), np.float64(0.2506011356399168), np.float64(0.5591706633738546), np.float64(0.7888351550206498), np.float64(0.48787776176527164), np.float64(60.30931111169186), np.float64(35.97497838548361), np.float64(50.676817397372915), np.float64(0.10247093805588445), np.float64(0.16016706177221007), np.float64(0.18517072054655448), np.int64(2), np.int64(2), np.int64(0), 4, np.int64(3), np.int64(4), np.int64(4), np.int64(4), np.int64(4), np.int64(2), np.int64(2), 0, np.int64(2), 4, np.int64(4), np.int64(3), np.int64(0), np.int64(0)]
