gen	nevals	avg    	std    	min    	max        
0  	50    	585238 	468169 	18599.8	1.00018e+06
1  	43    	256311 	395485 	17990.5	1.00013e+06
2  	44    	76995.3	189382 	17338  	1.00017e+06
3  	42    	28027.7	12037.4	17212.4	70677.7    
4  	48    	20325.1	3357.28	16444.5	32286.9    
5  	32    	19204.3	3019.09	16444.5	33562.3    
6  	35    	19485  	7310.52	16444.5	68563      
7  	32    	18556  	5642.17	16444.5	57626.2    
8  	38    	17945.4	1443.32	16459.8	25493.6    
9  	39    	18666.7	7453.41	16022.7	70539.8    
10 	40    	17395.9	673.784	16022.7	19130.7    
11 	38    	17113.8	1069.56	16072.2	23556.7    
12 	38    	17286  	3700.14	15839.8	42803.7    
13 	41    	18079.6	8596.9 	15839.8	78070      
14 	43    	19865.7	9740.15	15839.8	60081      
15 	36    	18657.6	8393.5 	15465.9	66123.8    
16 	48    	16952.8	623.107	15807.8	18645.2    
17 	37    	16679.5	528.653	15915  	17970.6    
18 	38    	16967.8	1098.96	15915  	22617      
19 	41    	16722  	651.64 	15247.2	18178      
20 	41    	16813.5	776.533	15383.1	18511.6    
21 	37    	17082.7	2744.29	15682.9	32971.9    
22 	44    	16593.3	498.882	15601.2	17674.7    
23 	46    	16369.6	554.024	15467.8	17512.8    
24 	42    	16473.2	985.471	15557.6	21974.4    
25 	42    	16110.8	384.856	15412.6	17139.7    
26 	37    	16449.2	2261.29	15343.4	31951      
27 	39    	16217.5	651.918	15206.6	18122.5    
28 	41    	16180.7	825.498	15207.9	20902.7    
29 	42    	16131.9	619.843	15137.7	17955.5    
30 	40    	16063.6	526.068	15137.7	17449.5    
