=== Final Results ===
gen	nevals	avg    	std    	min    	max        
0  	50    	724770 	442185 	12329.7	1.01608e+06
1  	41    	369794 	472672 	11056  	1.00012e+06
2  	46    	73922  	233986 	11367.7	1.00011e+06
3  	40    	53427.2	193245 	10479.5	1.00017e+06
4  	36    	12995.4	1323.99	10882.3	17481.8    
5  	44    	32241.6	138261 	10303.3	1e+06      
6  	44    	11734.9	1098.97	10279.7	15857.5    
7  	38    	11335  	691.82 	10279.7	14208.2    
8  	48    	11676.2	1248.39	10198.4	17500.7    
9  	44    	11486.2	649.495	10380.8	13106.1    
10 	39    	11464.6	1242.49	9997.79	17306.1    
11 	36    	11325.7	1076.56	9718.1 	16751.9    
12 	46    	11251.7	770.825	10112.4	13694.4    
13 	43    	11066.9	574.746	9927.74	12490.7    
14 	47    	11030.4	729.942	9848.09	13193.6    
15 	48    	11038  	759.587	9955.62	13611      
16 	43    	11224.7	1211.08	10259.2	16854.4    
17 	39    	11209.2	1468.81	9845.23	17226.4    
18 	40    	11111.5	790.244	9845.23	13894.3    
19 	42    	11075.6	730.399	10004.8	13516.7    
20 	49    	10790.3	469.851	9919.47	12252.3    
21 	39    	10831.9	604.438	9919.47	12694.5    
22 	42    	10884  	643.96 	9762.88	12509.9    
23 	37    	10824.8	649.089	9882.93	13118.6    
24 	38    	10876.6	770.428	9882.93	13255.9    
25 	38    	11158.9	1343.65	9897.22	16994.6    
26 	47    	10985.5	898.853	9787.06	15513.3    
27 	33    	10715.9	636.328	9616.28	12612.5    
28 	45    	10888.5	643.166	9940.86	13218.1    
29 	42    	10829.5	704.143	9470.21	13447.2    
30 	41    	10834.8	695.791	9652.75	12657.5    
31 	40    	10841.8	713.131	9737.15	13940.6    
32 	40    	10697.4	672.934	9497.09	12776.7    
33 	38    	10726.5	915.501	9497.09	13779.1    
34 	42    	10735.4	908.241	9698.74	15604.4    
35 	32    	10627.7	728.571	9698.74	12653.8    
36 	46    	10751  	661.439	9643.87	12709.8    
37 	43    	10792.2	712.495	9610.36	12577.2    
38 	44    	10898.6	1334.9 	9748.74	18042.6    
39 	48    	10722  	543.211	9684.72	12844.6    
40 	44    	10736.8	1026.02	9620.8 	16609.2    
41 	42    	10907  	1441.66	9606.68	18981.3    
42 	46    	11020.4	1716.28	9606.68	18708.1    
43 	41    	10784.8	756.887	9606.68	12612.5    
44 	38    	10507.6	530.486	9484.39	12228.6    
45 	43    	10499.8	691.191	9484.39	12101.8    
46 	43    	10625.2	708.457	9637.99	12448.7    
47 	41    	10741.2	1336.74	9711.43	19088.8    
48 	42    	10620.2	725.084	9766.33	13525.4    
49 	42    	10646.2	685.157	9581.66	12357.9    
50 	41    	10585  	975.648	9723.7 	16395.6    
Melhor Indivíduo:
[np.float64(0.009598218750528936), np.float64(0.38309031666688365), np.float64(0.5464715792450225), np.float64(59.46087613645159), np.float64(21.901328499990107), np.float64(51.486265776138836), np.float64(0.21425141782193335), np.float64(0.14579579001118176), np.float64(0.2543935518834503), np.float64(0.41202899669965515), np.float64(0.6502140585224361), np.float64(0.33818087613615844), np.float64(11.785379640652145), np.float64(39.42669012151829), np.float64(29.617132344080574), np.float64(0.2684364094637851), np.float64(0.20961702211472472), np.float64(0.20529641794914164), np.int64(1), np.int64(2), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(3), np.int64(4), 3, np.int64(0), 3, 0, np.int64(0), np.int64(1), np.int64(3), np.int64(3), 3, np.int64(4)]
