=== Final Results ===
gen	nevals	avg    	std    	min    	max        
0  	20    	11080.5	856.063	9852   	12765.6    
1  	12    	10718.2	924.544	9071.05	13076.5    
2  	12    	10292.8	763.865	9071.05	12399.6    
3  	14    	59844  	215704 	9071.05	1.00007e+06
4  	8     	10106.8	788.975	9071.05	11835.9    
5  	14    	10373.4	704.17 	9263.77	11726.5    
6  	11    	10210.2	660.509	9263.77	11510      
7  	14    	10556.3	1012.28	8624.67	12425.5    
8  	11    	59750.7	215709 	8624.67	1e+06      
9  	11    	59789.8	215902 	8624.67	1.00088e+06
10 	12    	59660.9	215740 	8624.67	1.00004e+06
11 	9     	59491.8	215786 	8624.67	1.00007e+06
12 	10    	10091  	997.031	8624.67	11702.7    
13 	9     	10192  	1066.61	8624.67	12031      
14 	8     	108779 	297348 	8624.67	1.00164e+06
15 	13    	9985.63	1084.73	8624.67	11551.3    
16 	12    	59709.4	215767 	8624.67	1.0002e+06 
17 	13    	59670.3	215729 	8624.67	1e+06      
18 	10    	9822.15	1202.77	8624.67	12220      
19 	10    	10010.3	1064.71	8624.67	11717.4    
20 	10    	10036.6	1125.23	8624.67	11688.8    
21 	13    	10253.7	1011.6 	8624.67	12193.9    
22 	14    	59901.9	215878 	8624.67	1.00088e+06
23 	8     	10114  	963.293	8624.67	11632.2    
24 	12    	10214.1	1044.25	8624.67	11702.5    
25 	15    	10282.9	1145.31	8624.67	12634.7    
26 	8     	10144.8	1171.35	8624.67	12490.1    
27 	13    	59566.7	215752 	8624.67	1e+06      
28 	8     	9437.85	850.252	8624.67	11472.4    
29 	11    	9721.23	1115.88	8624.67	12622.6    
30 	8     	9522.1 	870.583	8624.67	11184.7    
31 	18    	60063.7	215637 	8624.67	1e+06      
32 	15    	59926.6	215903 	8624.67	1.00102e+06
33 	16    	10596.7	901.149	8624.67	13083.1    
34 	9     	59560.8	215753 	8624.67	1e+06      
35 	13    	60248.9	215746 	8624.67	1.00065e+06
36 	9     	10417  	884.951	8624.67	12085.8    
37 	15    	59748.3	215717 	8624.67	1.00003e+06
38 	11    	10116.7	902.615	8624.67	11772.1    
39 	12    	10068.2	861.565	8624.67	11756.2    
40 	10    	10075.7	985.066	8624.67	12397.6    
41 	11    	59477.1	215781 	8624.67	1.00004e+06
42 	5     	9709.65	984.211	8624.67	12203.9    
43 	15    	59610.4	215749 	8624.67	1.00003e+06
44 	10    	9892.16	823.045	8624.67	11319      
45 	11    	9987.34	1028.74	8624.67	12094.4    
46 	12    	10264.5	1326.6 	8624.67	13508      
47 	13    	9963.23	925.891	8624.67	11224.1    
48 	12    	10100.6	1135.09	8624.67	12350.2    
49 	9     	158017 	353953 	8624.67	1.00138e+06
50 	15    	9938.6 	914.421	8624.67	12151.8    
Melhor Indivíduo:
[4.060695840792637, 0.0020778441803354086, 4.265902137575558, 36.14947269319294, 48.25698127758973, 30.956367460451297, 0.31305934669573227, 0.3158065212505742, 0.20064459436995807, 0.1829435535760941, 0.16537533729241868, 0.11265335128728732]


