=== Final Results ===
gen	nevals	avg    	std    	min    	max        
0  	100   	624053 	480429 	6353.52	1.0045e+06 
1  	85    	286731 	444816 	6514.62	1.00007e+06
2  	84    	57693.4	216613 	6497.61	1.00915e+06
3  	72    	17196.2	99144  	6347.22	1.00361e+06
4  	90    	36875.6	169898 	5972.86	1.00876e+06
5  	86    	6967.63	894.751	5972.86	11867.5    
6  	72    	6621.76	677.348	6046.65	12706.4    
7  	83    	16415  	99221  	6020.86	1.00365e+06
8  	79    	6351.66	208.975	6038.17	7069.45    
9  	81    	6255.53	190.833	5936.08	7141.26    
10 	82    	6226.08	197.934	5908.67	7464.83    
11 	85    	6219.03	219.648	5973.03	7439.21    
12 	77    	6164.94	150.603	5877.53	7005.23    
13 	83    	6176.12	460.542	5877.53	10399.4    
14 	80    	6136.19	160.32 	5877.53	7092.5     
15 	82    	6248.07	1313.5 	5903.48	19256.4    
16 	82    	6119.34	126.106	5903.48	6763.07    
17 	75    	6107.01	131.166	5903.48	6794.84    
18 	80    	6086.29	95.0671	5892.91	6308.77    
19 	85    	6066.71	117.894	5866.65	6554.33    
20 	75    	6044.32	115.901	5826.09	6646       
21 	88    	6047.05	108.485	5848.44	6412.14    
22 	85    	6048.27	163.233	5866.65	7338.09    
23 	78    	6034.49	205.108	5866.65	7846.71    
24 	78    	6024.36	160.906	5848.49	7235.13    
25 	83    	6039.47	167.164	5848.49	7061.38    
26 	73    	6096.21	687.887	5848.21	12540.4    
27 	79    	6029.85	104.537	5848.49	6398.75    
28 	83    	6018.35	117.439	5820.16	6884.75    
29 	78    	6007.69	101.033	5750.04	6576.55    
30 	86    	6093.03	535.554	5750.04	10342.2    
31 	87    	5996.37	88.1174	5750.04	6263.1     
32 	80    	6017.96	180.65 	5750.04	7038.47    
33 	82    	6024.66	185.061	5799.88	7258.47    
34 	86    	6010.6 	91.1545	5850.95	6355.58    
35 	81    	6007.72	99.0175	5830.79	6584.52    
36 	80    	6019.75	245.067	5850.95	8088.85    
37 	85    	6002.9 	84.0853	5838.68	6411.58    
38 	88    	5996.85	92.4875	5809.36	6289.9     
39 	81    	6009.26	230.882	5828.87	7775.25    
40 	91    	6010.55	132.571	5841.44	6916.61    
41 	83    	6008.51	154.346	5841.44	7242.74    
42 	86    	5998.65	126.535	5813.61	6899.34    
43 	80    	6015.89	239.278	5813.61	8120.99    
44 	79    	5992.73	79.63  	5813.61	6155.71    
45 	85    	6005.31	159.201	5813.61	7354.05    
46 	86    	6008.3 	111.767	5812.51	6635.91    
47 	78    	5988.75	80.8784	5809.81	6204.36    
48 	77    	6031.39	401.293	5809.81	9728.05    
49 	79    	5981.65	109.754	5824.16	6658.46    
50 	83    	5994.87	89.5068	5839.64	6330.52    
51 	71    	5993.37	94.4925	5839.64	6267.3     
52 	78    	5990.89	96.3842	5839.64	6572.18    
53 	76    	6005.3 	144.291	5780.09	7183.76    
54 	80    	6002.42	169.658	5818.9 	7443.58    
55 	75    	6025.78	288.991	5824.43	8071.62    
56 	70    	6000.6 	96.1514	5824.43	6267.53    
57 	84    	5991.85	87.6169	5817.22	6332.29    
58 	76    	5983.42	94.1393	5807.93	6271.7     
59 	79    	5982.41	111.008	5807.93	6594.42    
60 	82    	6038.79	462.68 	5807.66	10563.7    
61 	86    	6014.3 	93.0849	5818.37	6260.09    
62 	81    	6032.52	207.989	5844.92	7590.91    
63 	80    	5987.64	97.7591	5801.83	6463.77    
64 	84    	5994.44	165.514	5839.58	7411.08    
65 	84    	5976.29	75.0389	5829.21	6180.52    
66 	87    	6043.94	334.059	5849.76	8585.43    
67 	76    	6009.45	217.558	5810.39	7968.28    
68 	82    	5990.97	84.2214	5841.55	6190.67    
69 	75    	5997.66	119.336	5837.42	6715.14    
70 	81    	5984.24	106.042	5801.56	6615.99    
71 	89    	6000.78	89.3165	5801.56	6331.46    
72 	73    	5992.22	95.5511	5831.54	6275.57    
73 	74    	6018.76	176.78 	5831.54	7114.75    
74 	81    	5984.38	87.4617	5807.02	6198.03    
75 	73    	5984.93	130.743	5811.35	6965.04    
76 	87    	6002.6 	118.042	5807.7 	6649.77    
77 	82    	6057.78	619.907	5789.52	12031.5    
78 	88    	5998.85	152.398	5805.05	7230.81    
79 	86    	6048.98	442.514	5786.2 	10277      
80 	82    	6033.04	182.621	5786.2 	7143.12    
81 	67    	6008.01	167.268	5786.2 	7422.34    
82 	71    	5991.49	98.3009	5786.2 	6655.54    
83 	75    	5991.42	163.749	5786.2 	7181.11    
84 	83    	6056.38	603.501	5821.99	11819.2    
85 	74    	6018.55	280.523	5821.99	8443.7     
86 	76    	6021.36	310.82 	5821.99	8948.97    
87 	79    	5991.33	82.7808	5824.53	6218.08    
88 	67    	6014.72	294.608	5824.53	8525.75    
89 	91    	6006.37	139.035	5816.9 	6859.43    
90 	89    	6017.98	119.104	5875.49	6711.83    
91 	74    	5994.56	73.2963	5799.78	6185.94    
92 	76    	5997.11	89.8678	5845.91	6267.94    
93 	83    	6015.29	106.607	5836.75	6396.82    
