gen	nevals	avg    	std    	min    	max    
0  	50    	10880.2	8180   	5906.55	35523.9
1  	36    	6666.41	1386.11	5838.4 	14546.9
2  	36    	6061.58	179.623	5658.99	6501.53
3  	46    	6072.2 	163.074	5739.95	6452.43
4  	41    	6015.89	145.927	5699.58	6429.02
5  	40    	6001.55	173.84 	5699.58	6367.11
6  	48    	5982.39	156.556	5719.54	6349.44
7  	40    	5996.98	169.694	5708.49	6527.99
8  	44    	6005.83	201.406	5544.35	6627.3 
9  	33    	5969.24	158.211	5655.56	6396.77
10 	42    	5993.03	175.568	5680.87	6374.49
11 	41    	5985.94	176.736	5680.87	6474.32
12 	46    	6016.9 	172.32 	5679.39	6472.93
13 	43    	5983.86	173.573	5686.4 	6433.87
14 	37    	5943.81	154.689	5697.74	6345.15
15 	44    	5977.66	162.337	5698.78	6261.72
16 	39    	5970.95	168.598	5746.3 	6557.7 
17 	45    	5972.13	151.069	5732.15	6464.06
18 	44    	5965.29	139.47 	5659.84	6246.64
19 	40    	5941.98	133.884	5594.13	6343.88
20 	43    	5991.24	159.826	5594.13	6305.84
