=== Final Results ===
gen	nevals	avg    	std    	min    	max    
0  	30    	20912.6	6351.13	12183.8	35963.5
1  	10    	17761.6	3955.9 	12183.8	27284.5
2  	17    	16131.4	2905.3 	12183.8	25742.3
3  	11    	14719.4	2414.65	12183.8	21176.7
4  	19    	14999.6	2759.26	12166.6	20767.9
5  	20    	15171.2	2766.63	11772.1	20951.2
6  	17    	14147.1	2354.69	11747.3	21947.2
7  	12    	15103.5	5354.45	11747.3	39222.9
8  	23    	15447.3	3250.4 	11747.3	24209.9
9  	19    	14606.7	2331.26	11772.1	20573.7
10 	14    	14611.7	3386.82	11772.1	28465.9
11 	15    	14619.9	2929.21	11772.1	20900.7
12 	20    	14096.7	2084.59	11772.1	19900.4
13 	17    	14269  	1980.52	11772.1	19059.3
14 	12    	14074.8	2357.28	11772.1	21250.2
15 	13    	14729.6	4321.69	11772.1	34221.3
16 	11    	13582.3	1960.29	11772.1	20536.9
17 	17    	13975.1	2380.66	11772.1	19662  
18 	19    	14652.4	3300.58	11772.1	23485.9
19 	16    	14354.4	3326.16	11772.1	24903.2
20 	14    	13911.8	3335.36	11772.1	25953.9
21 	18    	14617.8	3381.21	11772.1	23687.6
22 	21    	15301.5	3188.02	11772.1	21701.7
23 	11    	14010.7	3517.99	11772.1	26302.4
24 	18    	14432.1	2985.39	11224.4	23530  
25 	11    	13761.7	2526.9 	11224.4	21483.8
26 	17    	12709.1	1330.64	11224.4	16432.6
27 	13    	13627.8	3327.16	11224.4	24348.6
28 	6     	12407.3	1991   	11224.4	19900.1
29 	18    	14239.2	3235.29	11224.4	20742.2
30 	13    	12653.7	1837.65	11224.4	16367.2
31 	15    	13062.2	2362.48	11224.4	18429.5
32 	13    	13115.2	2627.7 	11224.4	20874.6
33 	11    	14339.8	5820.38	11224.4	38734.9
34 	22    	14100.9	3018.25	11224.4	21952.5
35 	9     	12865.2	2204.57	11224.4	18610  
36 	16    	13576.6	2657.3 	11224.4	21833.7
37 	21    	13829.5	2720.96	11224.4	21521.6
38 	11    	13150.7	2522.71	11224.4	21030.9
39 	19    	13853  	2257.38	11224.4	19975.1
40 	20    	14088.4	2775.79	11224.4	21783.8
41 	21    	14626.3	2712.52	11224.4	21546  
42 	9     	13570.9	3576.3 	11224.4	28762.2
43 	21    	14409.1	3115.26	11214.2	25025.8
44 	15    	13466.9	2376.51	11214.2	22507.5
45 	19    	14700.6	3286.81	11214.2	23910.4
46 	18    	14758.6	2850.86	11224.4	21850.1
47 	19    	14436.4	1999.98	12183  	18814.9
48 	19    	14548  	2329.68	12183  	20737.4
49 	13    	14089.8	2378.19	11243.7	21347.3
50 	12    	13359.4	1932.36	12183  	20891.6
Melhor Indivíduo:
[1.7397155298594402, 735.9806712307725, 32.176179131499126]


