=== Final Results ===
gen	nevals	avg    	std    	min    	max    
0  	30    	2594.39	356.366	2188.06	3269.47
1  	10    	2431.84	309.286	2188.06	3755.94
2  	19    	2402.2 	155.401	2191.16	2766.16
3  	21    	2473.62	225.698	2191.16	3016.5 
4  	19    	2442.2 	218.684	2191.16	3219.25
5  	19    	2376.74	186.048	2162.94	2930.43
6  	23    	2470.13	277.115	2092.58	3342.97
7  	16    	2472.39	302.647	2092.58	3453.81
8  	15    	2370.7 	211.96 	2092.58	2983.69
9  	20    	2487.05	289.585	2092.58	3175.52
10 	14    	2415.18	227.541	2092.58	2962.21
11 	18    	2369.84	271.661	2092.58	3175.3 
12 	17    	2374.22	249.175	2092.58	3163.93
13 	17    	2432.05	340.698	2092.58	3847.99
14 	15    	2353.73	261.098	2092.58	3324.74
15 	27    	2454.49	248.759	2092.58	3167.7 
16 	21    	2456.09	215.33 	2092.58	3083.95
17 	22    	2476.94	302.955	2091.86	3250.83
18 	13    	2414.72	217.28 	2092.58	3065.97
19 	16    	2392.1 	207.311	2178.81	3035.95
20 	21    	2445.15	202.522	2178.81	2886.78
21 	18    	2488.03	262.557	2178.81	3115.58
22 	15    	2436.16	230.629	2178.81	3099.75
23 	17    	2444.59	258.956	2178.81	3299.78
24 	12    	2347.08	227.83 	2162.98	3185.84
25 	19    	2474.68	338.145	2162.98	3361.66
26 	12    	2385.18	279.994	2162.98	3046.2 
27 	18    	2457.68	304.107	2162.98	3215.86
28 	14    	2472.12	334.287	2162.98	3291.27
29 	15    	2355.97	257.766	2162.98	3282.45
30 	22    	2448.13	284.781	2124.91	3144.13
31 	12    	2404.46	278.502	2124.91	3328.73
32 	15    	2384.56	264.514	2124.91	3153.45
33 	13    	2365.98	291.826	2124.91	3310.07
34 	20    	2503.62	319.949	2124.91	3348.96
35 	16    	2429.71	261.303	2124.91	3198.54
36 	20    	2441.74	237.451	2124.91	2930.35
37 	14    	2338.88	180.508	2124.91	2797.92
38 	21    	2464.12	301.311	2124.91	3274.28
39 	17    	2419.88	237.41 	2124.91	3079.09
40 	16    	2329.24	179.276	2124.91	2731.5 
41 	18    	2443.33	252.071	2124.91	2938.06
42 	14    	2330.84	239.033	2124.91	3007.87
43 	13    	2302.36	213.83 	2124.91	2843.29
44 	17    	2329.52	211.627	2124.91	2915.33
45 	15    	2360.44	245.641	2124.91	2853.36
46 	13    	2351.31	257.389	2124.91	2892.55
47 	18    	2438.87	344.281	2124.91	3485.47
48 	15    	2413.71	326.112	2124.91	3135.99
49 	17    	2431.75	303.368	2124.91	3190.15
50 	19    	2498.69	305.746	2124.91	3193.99
Melhor Indivíduo:
[9.05881800768267, 830.1385948065257, 149.14354604944378]
