Individual: [np.float64(0.21993720934244318), np.float64(0.41463881725319884), np.float64(0.33713808032073245), np.float64(31.434394755910724), np.float64(32.850273464509065), np.float64(32.96066484214472), np.float64(0.20255617118579325), np.float64(0.32782777543599095), np.float64(0.26840621054870106), np.float64(0.6235120747607585), np.float64(0.548921650741627), np.float64(0.5034265023541958), np.float64(39.19750152518405), np.float64(33.00739093438502), np.float64(21.46814332166222), np.float64(0.16645243125371706), np.float64(0.27495723128939953), np.float64(0.2998979740995638)]
Variable to be minimized: 3014.119324713227
=== Final Results ===
gen	nevals	avg    	std    	min    	max        
0  	30    	634691 	480368 	3151.49	1.00302e+06
1  	27    	302505 	457022 	3031.45	1.00553e+06
2  	29    	36519  	178915 	3114.4 	1.00001e+06
3  	24    	3263.43	137.425	3051.12	3626.93    
4  	25    	69744.1	248883 	3066.88	1.00192e+06
5  	21    	102902 	299091 	3106.55	1.00047e+06
6  	25    	69747.3	248846 	3054.94	1.001e+06  
7  	30    	3254.38	107.351	3068.66	3605.79    
8  	24    	36427.3	178943 	2911.43	1.00007e+06
9  	27    	36448.2	178927 	2911.43	1e+06      
10 	22    	3168.75	127.912	2911.43	3446.28    
11 	27    	36439.7	179012 	2919.81	1.00045e+06
12 	24    	36399.1	178937 	2952.64	1.00001e+06
13 	22    	136103 	339012 	2969.58	1.00053e+06
14 	21    	69596.2	248717 	2969.58	1.0004e+06 
15 	23    	3137.65	126.409	2969.58	3495       
16 	28    	69701.8	248726 	2959.89	1.00058e+06
17 	23    	3172.4 	124.204	2969.58	3462.11    
18 	24    	3184.91	89.149 	3038.35	3439.67    
19 	28    	36395.5	178958 	2970.3 	1.00012e+06
20 	22    	36391.6	179085 	2959.16	1.00079e+06
21 	28    	69699.9	248804 	3007.74	1.00117e+06
22 	28    	3173.77	176.324	2928.78	3934.35    
23 	29    	102944 	299330 	3017.71	1.00152e+06
24 	24    	69629.1	248740 	2980.53	1.00053e+06
25 	17    	36392.8	179049 	2980.53	1.0006e+06 
26 	28    	3135.05	81.5186	2992.15	3300.19    
27 	21    	36357.7	178944 	2964.38	1e+06      
28 	28    	36383.8	179053 	2992.15	1.00061e+06
29 	22    	36376.2	179018 	3006.5 	1.00042e+06
30 	25    	36373.1	178943 	2963.18	1.00001e+06
31 	28    	3172.79	128.496	2928.32	3535.4     
32 	22    	3141.41	111.81 	2946.49	3390.43    
33 	27    	102889 	299109 	2993.29	1.00042e+06
34 	24    	69557.3	248671 	2896.94	1e+06      
35 	26    	36375.1	178941 	2896.94	1e+06      
36 	28    	3130.54	65.8305	3009.39	3252.86    
37 	29    	3159.48	102.192	3010.9 	3433.31    
38 	24    	3166.55	92.2332	3007.63	3377.38    
39 	19    	36345.5	178946 	3007.63	1e+06      
40 	30    	36386  	178939 	2966.13	1e+06      
41 	26    	36392  	179030 	2898.7 	1.0005e+06 
42 	25    	36359.4	178944 	2953.96	1e+06      
43 	21    	3161.02	112.028	2972.77	3446.86    
44 	26    	3144.23	106.195	2955.9 	3463.26    
45 	26    	36380.8	179071 	2979.43	1.00071e+06
46 	22    	36349.7	179059 	2974.34	1.00061e+06
47 	23    	3138.23	136.959	2881.6 	3448.27    
48 	22    	69633.1	248780 	2881.6 	1.0009e+06 
49 	22    	3113.86	109.914	2881.6 	3278.19    
50 	25    	69619.6	248852 	2881.6 	1.00111e+06
Melhor Indivíduo:
[np.float64(0.21993720934244318), np.float64(0.41463881725319884), np.float64(0.33713808032073245), np.float64(31.434394755910724), np.float64(32.850273464509065), np.float64(32.96066484214472), np.float64(0.20255617118579325), np.float64(0.3348156255849202), np.float64(0.26840621054870106), np.float64(0.6235120747607585), np.float64(0.548921650741627), np.float64(0.5034265023541958), np.float64(39.19750152518405), np.float64(33.00739093438502), np.float64(21.46814332166222), np.float64(0.16645243125371706), np.float64(0.27495723128939953), np.float64(0.2998979740995638)]
