=== Final Results ===
gen	nevals	avg    	std    	min    	max    
0  	30    	3693.59	409.41 	3414.31	5189.58
1  	14    	3563.02	85.9177	3414.31	3748.77
2  	16    	3517.49	88.4211	3376.05	3725.13
3  	17    	3502.16	84.8021	3376.05	3720.5 
4  	20    	3517.78	87.0823	3376.05	3746.4 
5  	17    	3488.5 	76.5134	3377.78	3672.81
6  	19    	3452.23	77.6953	3270.02	3626.88
7  	22    	3451.41	74.0803	3270.02	3568.98
8  	19    	3432.35	71.9272	3270.02	3599.96
9  	19    	3457.31	102.127	3270.02	3709.76
10 	16    	3425.57	88.8631	3270.02	3674.48
11 	18    	3436.29	105.268	3270.02	3813.65
12 	20    	3412.13	87.7321	3270.02	3647.99
13 	21    	3449.34	124.519	3270.02	3850.18
14 	15    	3466.12	157.098	3321.1 	4094.37
15 	14    	3415.05	109.862	3226.17	3718.83
16 	15    	3383.69	86.2274	3226.17	3557.2 
17 	13    	3387.78	92.2895	3226.17	3549.67
18 	16    	3428.39	175.92 	3226.17	4052.58
19 	14    	3412.65	114.909	3226.17	3779.3 
20 	19    	3428.75	118.543	3226.17	3689.9 
21 	15    	3481.31	371.882	3226.17	5320.59
22 	20    	3481.34	394.422	3226.17	5506.82
23 	15    	3430.29	212.991	3226.17	4142.83
24 	19    	3444.08	182.914	3226.17	3842.17
25 	23    	3461.3 	173.309	3226.17	3909.35
26 	23    	3465.65	137.524	3153.77	3746.2 
27 	12    	3411.2 	125.257	3153.77	3635.94
28 	20    	3475   	372.084	3153.77	5329.09
29 	20    	3441.53	152.757	3153.77	3765.47
30 	17    	3470.68	174.381	3153.77	3882.76
31 	17    	3504.32	325.364	3296.89	5026.32
32 	15    	3440.79	195.042	3296.89	4148.48
33 	16    	3458.27	174.708	3296.89	3773.99
34 	16    	3443.33	181.727	3128.28	3966.78
35 	22    	3507.1 	194.585	3222.17	3902.67
36 	20    	3521.23	197.814	3174.4 	3893.12
37 	23    	3524.52	275.324	3174.4 	4610.19
38 	23    	3487.02	141.855	3120.72	3793.74
39 	21    	3488.92	159.245	3101.39	3781.02
40 	22    	3521.65	193.169	3101.39	3807.81
41 	21    	3470.23	171.576	3101.39	3772.51
42 	18    	3496.05	199.614	3120.72	3861.89
43 	16    	3434.32	221.733	3120.72	3911.23
44 	18    	3493.35	219.277	3120.72	3805.35
45 	19    	3462.85	172.372	3120.72	3748.57
46 	12    	3354.13	198.232	3120.72	3744.99
47 	15    	3385.83	241.848	3120.72	3790.33
48 	20    	3399.57	222.141	3120.72	3893.25
49 	20    	3453.87	228.637	3120.72	3823.23
50 	17    	3400.64	206.596	3120.72	3798.5 
Melhor Indivíduo:
[2.138895853643607, 117.86919496646753, 147.8821312529731]
