=== Final Results ===
gen	nevals	avg    	std    	min    	max        
0  	30    	704862 	451680 	13255.5	1.00955e+06
1  	28    	376859 	474306 	13374.7	1.00165e+06
2  	30    	146873 	334787 	13272.3	1.00112e+06
3  	24    	48052.3	176782 	12642.6	1e+06      
4  	23    	80179.4	246165 	12772.7	1.00215e+06
5  	26    	145679 	335184 	12593  	1.00046e+06
6  	28    	47445.5	176890 	12772.7	1e+06      
7  	26    	47431.1	176978 	12155.5	1.00046e+06
8  	30    	80294  	245940 	11814.1	1.00055e+06
9  	23    	46180.2	177122 	11655.4	1e+06      
10 	26    	45998  	177176 	11822.4	1.0001e+06 
11 	24    	12665  	749.21 	11544.6	14611.9    
12 	24    	79132  	246117 	11656.8	1e+06      
13 	20    	45655  	177219 	11806  	1e+06      
14 	24    	12995.2	1092.07	11220.2	15331.9    
15 	22    	45681.5	177241 	11127  	1.00013e+06
16 	23    	46114  	177259 	11220.2	1.00064e+06
17 	23    	12890.2	1310.31	11220.2	16341.4    
18 	25    	13048.5	1555.21	11192.2	18314.6    
19 	24    	12629.3	1030.59	10566.9	14799      
20 	20    	45616.1	177247 	10566.9	1.0001e+06 
21 	26    	46203  	177425 	10566.9	1.00164e+06
22 	24    	45813.5	177235 	10176.8	1.00024e+06
23 	27    	46031  	177216 	11219.7	1.00034e+06
24 	23    	45555.7	177239 	11219.7	1e+06      
25 	28    	78948.4	246289 	11299.3	1.00079e+06
26 	26    	45852.7	177294 	11338.3	1.0006e+06 
27 	26    	13610  	1227.45	11338.3	15986.5    
28 	28    	111686 	296258 	11353.7	1.00076e+06
29 	26    	46013.2	177187 	11353.7	1.00018e+06
30 	30    	45968.6	177282 	11141.3	1.00064e+06
31 	26    	13084  	1393.92	10607.3	16428.8    
32 	24    	12904  	866.8  	11509.3	15794.5    
33 	22    	46271.9	177128 	11479.2	1.00008e+06
34 	28    	13468.4	1458.19	11104.6	17447.7    
35 	27    	45939.5	177200 	11375.3	1.00017e+06
36 	28    	13384.4	1192.56	12063.8	17103.8    
37 	26    	46081.3	177333 	11363.4	1.00102e+06
38 	27    	45995.6	177502 	11311  	1.00186e+06
39 	21    	45824.2	177834 	11311  	1.00347e+06
40 	22    	45482.8	177369 	10951.8	1.00063e+06
41 	21    	12929.7	1553.92	10951.8	17289.8    
42 	26    	45786.3	177216 	10951.8	1.00011e+06
43 	22    	45712.3	177211 	11138  	1e+06      
44 	21    	78581.8	246315 	11499.2	1.00037e+06
45 	26    	79241.5	246285 	11932.9	1.00097e+06
46 	26    	12835.1	1376.46	10659.7	16809.8    
47 	19    	45342.2	177341 	10659.7	1.00034e+06
48 	26    	12955.3	1317.24	10710.1	16274.4    
49 	24    	78727.9	246456 	10710.1	1.00155e+06
50 	23    	46170.2	177261 	11111.5	1.00071e+06
Melhor Indivíduo:
[np.float64(0.2452756117192072), np.float64(0.6314438801204216), np.float64(0.14896525889966167), np.float64(41.93558185495538), np.float64(48.555596666024314), np.float64(40.089918301854205), np.float64(0.1331198108939456), np.float64(0.1813704389233992), np.float64(0.40002804167464495), np.float64(0.8466360088718689), np.float64(0.0747009832397093), np.float64(0.1721806812773743), np.float64(35.50476953613601), np.float64(51.0127129434542), np.float64(55.34351234187098), np.float64(0.06657950052596032), np.float64(0.18701170141853954), np.float64(0.3796480632136605)]
Melhor Indivíduo:
[np.float64(0.2452756117192072), np.float64(0.6314438801204216), np.float64(0.14896525889966167), np.float64(41.93558185495538), np.float64(48.555596666024314), np.float64(40.089918301854205), np.float64(0.1331198108939456), np.float64(0.1813704389233992), np.float64(0.40002804167464495), np.float64(0.8466360088718689), np.float64(0.0747009832397093), np.float64(0.1721806812773743), np.float64(35.50476953613601), np.float64(51.0127129434542), np.float64(55.34351234187098), np.float64(0.06657950052596032), np.float64(0.18701170141853954), np.float64(0.3796480632136605)]
